row_id,age,job,marital,education,default,balance,housing,loan,pdays,previous,poutcome,actual_target,model_score,selected_for_outreach,priority_rank
44664,41,unemployed,single,tertiary,no,7968,no,no,184,4,success,1,0.8974897977131912,True,1
45098,44,technician,single,unknown,no,11115,no,no,185,4,success,0,0.8429068368411258,True,2
43122,20,student,single,secondary,no,215,no,no,92,6,success,1,0.8382727823988053,True,3
43579,41,unemployed,married,tertiary,no,0,no,no,181,3,success,1,0.8324563628522474,True,4
40631,30,self-employed,married,tertiary,no,2666,no,no,93,4,success,1,0.8216232453389292,True,5
44800,72,retired,married,tertiary,no,3561,no,no,184,7,success,1,0.8214344387388466,True,6
44376,63,management,married,tertiary,no,2785,no,no,392,3,success,1,0.8194106073527322,True,7
41963,77,management,married,unknown,no,1780,yes,no,183,3,success,1,0.8177156687567133,True,8
43135,25,student,single,secondary,no,469,no,no,187,2,success,0,0.8142285152660541,True,9
43033,48,unemployed,married,secondary,no,926,no,no,185,6,success,1,0.8135761936290041,True,10
41241,59,unemployed,married,secondary,no,1047,no,no,184,3,success,1,0.8133611818593984,True,11
43658,53,management,married,tertiary,no,3634,no,no,88,8,success,1,0.8118793409807427,True,12
42227,21,student,single,secondary,no,123,no,no,91,1,success,1,0.8111063188956981,True,13
45031,42,unemployed,married,secondary,no,1289,no,no,92,6,success,1,0.8085876385054204,True,14
44087,60,technician,married,secondary,no,259,no,no,386,2,success,1,0.8076227572528436,True,15
40226,24,management,single,tertiary,no,1506,no,no,95,4,success,1,0.8068895919202659,True,16
44420,93,retired,married,unknown,no,775,no,no,13,9,success,1,0.8051529199357526,True,17
43164,30,management,single,tertiary,no,5359,no,no,191,3,success,1,0.7991025004121063,True,18
43682,24,technician,single,secondary,no,598,no,no,182,2,success,1,0.7945137318877307,True,19
44256,27,admin.,married,tertiary,no,2855,no,no,178,4,success,1,0.793207833966858,True,20
44150,29,self-employed,single,tertiary,no,1579,no,no,181,4,success,1,0.7915337608789716,True,21
44791,74,retired,married,tertiary,no,1843,no,no,184,3,success,1,0.7910728781887181,True,22
43336,31,management,single,tertiary,no,3384,no,no,187,3,success,1,0.7906931626760665,True,23
42986,54,unknown,married,secondary,no,2206,no,no,91,3,success,1,0.7906678217221358,True,24
43677,54,management,married,tertiary,no,1624,no,no,182,10,success,1,0.7901657739419768,True,25
41917,27,student,single,tertiary,no,1134,no,no,183,4,success,1,0.7897212980346663,True,26
44735,36,management,married,tertiary,no,2161,no,no,183,5,success,1,0.7894177678057329,True,27
43423,80,retired,married,secondary,no,8304,no,no,118,11,success,0,0.7889996924274791,True,28
44540,48,unemployed,married,secondary,no,926,no,no,178,10,success,1,0.7889474049839442,True,29
44295,61,self-employed,married,tertiary,no,10861,no,no,259,3,success,1,0.7865026231875559,True,30
43123,48,housemaid,married,tertiary,no,5473,no,no,184,2,success,1,0.78623719229775,True,31
41641,57,management,married,tertiary,no,10583,no,no,98,3,success,1,0.7832795061014518,True,32
27974,41,self-employed,single,tertiary,no,1616,no,no,184,7,success,0,0.7830877604938945,True,33
44411,59,unemployed,married,secondary,no,1625,no,no,180,2,success,1,0.7828223642349962,True,34
43684,29,self-employed,single,tertiary,no,3290,no,no,50,3,success,1,0.782699984447779,True,35
42449,42,management,married,tertiary,no,254,no,no,183,4,success,1,0.7824887269843429,True,36
42383,25,student,single,secondary,no,304,no,no,188,2,success,0,0.7798243933847336,True,37
43938,30,management,single,tertiary,no,572,no,no,183,2,success,1,0.7792523112910514,True,38
43475,35,management,single,tertiary,no,2646,no,no,183,2,success,1,0.777647983673,True,39
43005,60,retired,married,secondary,no,523,no,no,182,3,success,1,0.7772079731598099,True,40
34307,30,self-employed,married,tertiary,no,2666,no,no,89,1,success,1,0.7737261457747089,True,41
43477,75,retired,married,secondary,no,3771,no,no,181,2,success,1,0.7735299948310449,True,42
43731,72,retired,married,secondary,no,5715,no,no,181,2,success,1,0.7735299948310449,True,43
44521,42,management,married,tertiary,no,27696,no,no,91,7,success,1,0.773374090358237,True,44
42709,76,retired,married,tertiary,no,2991,no,no,95,2,success,0,0.7732491257853503,True,45
44534,75,retired,married,secondary,no,291,no,no,182,2,success,1,0.7690691225024049,True,46
43890,36,services,married,secondary,no,4721,no,no,92,5,success,1,0.7690475960985751,True,47
43687,50,technician,married,tertiary,no,2611,no,no,387,2,success,0,0.7689399730394443,True,48
45126,54,technician,married,tertiary,no,876,no,no,541,3,success,1,0.7688761843008035,True,49
42993,31,management,single,tertiary,no,533,no,no,91,9,success,1,0.7687456464973859,True,50
42753,69,retired,divorced,secondary,no,4572,no,no,92,3,success,0,0.768217472987242,True,51
45012,51,management,married,tertiary,no,469,no,no,182,3,success,1,0.7681879644584534,True,52
44189,31,technician,single,secondary,no,2544,no,no,184,3,success,1,0.7674231878025248,True,53
43860,27,blue-collar,single,tertiary,no,644,no,no,182,1,success,1,0.7664013857851436,True,54
45162,29,admin.,single,secondary,no,464,no,no,91,3,success,1,0.7659014608356153,True,55
43165,28,student,single,secondary,no,1925,no,no,93,3,success,0,0.764242483893532,True,56
42966,33,management,single,tertiary,no,935,no,no,92,8,success,1,0.7617153725844009,True,57
